image_path,solution_pixels,line_width
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_047_size_31x31_seed_1251076242/maze_31_31_1251076242_DFS_final_step0001.png,[],6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_047_size_31x31_seed_1251076242/maze_31_31_1251076242_DFS_final_step0002.png,"[[580.5,12.5],[580.5,38.5]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_047_size_31x31_seed_1251076242/maze_31_31_1251076242_DFS_final_step0003.png,"[[580.5,12.5],[580.5,38.5],[606.0,38.5]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_047_size_31x31_seed_1251076242/maze_31_31_1251076242_DFS_final_step0004.png,"[[580.5,12.5],[580.5,38.5],[606.0,38.5],[606.0,64.0]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_047_size_31x31_seed_1251076242/maze_31_31_1251076242_DFS_final_step0005.png,"[[580.5,12.5],[580.5,38.5],[606.0,38.5],[606.0,64.0],[606.0,89.5]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_047_size_31x31_seed_1251076242/maze_31_31_1251076242_DFS_final_step0006.png,"[[580.5,12.5],[580.5,38.5],[606.0,38.5],[606.0,64.0],[606.0,89.5],[631.5,89.5]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_047_size_31x31_seed_1251076242/maze_31_31_1251076242_DFS_final_step0007.png,"[[580.5,12.5],[580.5,38.5],[606.0,38.5],[606.0,64.0],[606.0,89.5],[631.5,89.5],[657.5,89.5]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_047_size_31x31_seed_1251076242/maze_31_31_1251076242_DFS_final_step0008.png,"[[580.5,12.5],[580.5,38.5],[606.0,38.5],[606.0,64.0],[606.0,89.5],[631.5,89.5],[657.5,89.5],[683.5,89.5]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_047_size_31x31_seed_1251076242/maze_31_31_1251076242_DFS_final_step0009.png,"[[580.5,12.5],[580.5,38.5],[606.0,38.5],[606.0,64.0],[606.0,89.5],[631.5,89.5],[657.5,89.5],[683.5,89.5],[709.5,89.5]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_047_size_31x31_seed_1251076242/maze_31_31_1251076242_DFS_final_step0010.png,"[[580.5,12.5],[580.5,38.5],[606.0,38.5],[606.0,64.0],[606.0,89.5],[631.5,89.5],[657.5,89.5],[683.5,89.5],[709.5,89.5],[735.0,89.5]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_047_size_31x31_seed_1251076242/maze_31_31_1251076242_DFS_final_step0011.png,"[[580.5,12.5],[580.5,38.5],[606.0,38.5],[606.0,64.0],[606.0,89.5],[631.5,89.5],[657.5,89.5],[683.5,89.5],[709.5,89.5],[735.0,89.5],[760.5,89.5]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_047_size_31x31_seed_1251076242/maze_31_31_1251076242_DFS_final_step0012.png,"[[580.5,12.5],[580.5,38.5],[606.0,38.5],[606.0,64.0],[606.0,89.5],[631.5,89.5],[657.5,89.5],[683.5,89.5],[709.5,89.5],[735.0,89.5],[760.5,89.5],[760.5,115.5]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_047_size_31x31_seed_1251076242/maze_31_31_1251076242_DFS_final_step0013.png,"[[580.5,12.5],[580.5,38.5],[606.0,38.5],[606.0,64.0],[606.0,89.5],[631.5,89.5],[657.5,89.5],[683.5,89.5],[709.5,89.5],[735.0,89.5],[760.5,89.5],[760.5,115.5],[760.5,141.5]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_047_size_31x31_seed_1251076242/maze_31_31_1251076242_DFS_final_step0014.png,"[[580.5,12.5],[580.5,38.5],[606.0,38.5],[606.0,64.0],[606.0,89.5],[631.5,89.5],[657.5,89.5],[683.5,89.5],[709.5,89.5],[735.0,89.5],[760.5,89.5],[760.5,115.5],[760.5,141.5],[760.5,167.5]]",6
