image_path,solution_pixels,line_width
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_055_size_29x29_seed_1251175002/maze_29_29_1251175002_DFS_final_step0001.png,[],7
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_055_size_29x29_seed_1251175002/maze_29_29_1251175002_DFS_final_step0002.png,"[[13.5,427.0],[41.0,427.0]]",7
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_055_size_29x29_seed_1251175002/maze_29_29_1251175002_DFS_final_step0003.png,"[[13.5,427.0],[41.0,427.0],[68.5,427.0]]",7
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_055_size_29x29_seed_1251175002/maze_29_29_1251175002_DFS_final_step0004.png,"[[13.5,427.0],[41.0,427.0],[68.5,427.0],[96.0,427.0]]",7
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_055_size_29x29_seed_1251175002/maze_29_29_1251175002_DFS_final_step0005.png,"[[13.5,427.0],[41.0,427.0],[68.5,427.0],[96.0,427.0],[96.0,399.5]]",7
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_055_size_29x29_seed_1251175002/maze_29_29_1251175002_DFS_final_step0006.png,"[[13.5,427.0],[41.0,427.0],[68.5,427.0],[96.0,427.0],[96.0,399.5],[96.0,372.0]]",7
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_055_size_29x29_seed_1251175002/maze_29_29_1251175002_DFS_final_step0007.png,"[[13.5,427.0],[41.0,427.0],[68.5,427.0],[96.0,427.0],[96.0,399.5],[96.0,372.0],[96.0,344.5]]",7
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_055_size_29x29_seed_1251175002/maze_29_29_1251175002_DFS_final_step0008.png,"[[13.5,427.0],[41.0,427.0],[68.5,427.0],[96.0,427.0],[96.0,399.5],[96.0,372.0],[96.0,344.5],[96.0,316.5]]",7
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_055_size_29x29_seed_1251175002/maze_29_29_1251175002_DFS_final_step0009.png,"[[13.5,427.0],[41.0,427.0],[68.5,427.0],[96.0,427.0],[96.0,399.5],[96.0,372.0],[96.0,344.5],[96.0,316.5],[96.0,289.0]]",7
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_055_size_29x29_seed_1251175002/maze_29_29_1251175002_DFS_final_step0010.png,"[[13.5,427.0],[41.0,427.0],[68.5,427.0],[96.0,427.0],[96.0,399.5],[96.0,372.0],[96.0,344.5],[96.0,316.5],[96.0,289.0],[96.0,261.5]]",7
