image_path,solution_pixels,line_width
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_028_size_19x19_seed_1250841687/maze_19_19_1250841687_DFS_final_step0001.png,[],10
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_028_size_19x19_seed_1250841687/maze_19_19_1250841687_DFS_final_step0002.png,"[[146.5,20.5],[146.5,62.5]]",10
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_028_size_19x19_seed_1250841687/maze_19_19_1250841687_DFS_final_step0003.png,"[[146.5,20.5],[146.5,62.5],[189.0,62.5]]",10
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_028_size_19x19_seed_1250841687/maze_19_19_1250841687_DFS_final_step0004.png,"[[146.5,20.5],[146.5,62.5],[189.0,62.5],[231.5,62.5]]",10
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_028_size_19x19_seed_1250841687/maze_19_19_1250841687_DFS_final_step0005.png,"[[146.5,20.5],[146.5,62.5],[189.0,62.5],[231.5,62.5],[273.5,62.5]]",10
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_028_size_19x19_seed_1250841687/maze_19_19_1250841687_DFS_final_step0006.png,"[[146.5,20.5],[146.5,62.5],[189.0,62.5],[231.5,62.5],[273.5,62.5],[315.5,62.5]]",10
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_028_size_19x19_seed_1250841687/maze_19_19_1250841687_DFS_final_step0007.png,"[[146.5,20.5],[146.5,62.5],[189.0,62.5],[231.5,62.5],[273.5,62.5],[315.5,62.5],[357.5,62.5]]",10
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_028_size_19x19_seed_1250841687/maze_19_19_1250841687_DFS_final_step0008.png,"[[146.5,20.5],[146.5,62.5],[189.0,62.5],[231.5,62.5],[273.5,62.5],[315.5,62.5],[357.5,62.5],[399.5,62.5]]",10
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_028_size_19x19_seed_1250841687/maze_19_19_1250841687_DFS_final_step0009.png,"[[146.5,20.5],[146.5,62.5],[189.0,62.5],[231.5,62.5],[273.5,62.5],[315.5,62.5],[357.5,62.5],[399.5,62.5],[441.5,62.5]]",10
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203853_292743/maze_028_size_19x19_seed_1250841687/maze_19_19_1250841687_DFS_final_step0010.png,"[[146.5,20.5],[146.5,62.5],[189.0,62.5],[231.5,62.5],[273.5,62.5],[315.5,62.5],[357.5,62.5],[399.5,62.5],[441.5,62.5],[483.5,62.5]]",10
