image_path,solution_pixels,line_width
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0001.png,[],6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0002.png,"[[582.0,788.0],[582.0,765.0]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0003.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0004.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0005.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0006.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5],[628.0,719.5]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0007.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5],[628.0,719.5],[651.0,719.5]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0008.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5],[628.0,719.5],[651.0,719.5],[674.0,719.5]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0009.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5],[628.0,719.5],[651.0,719.5],[674.0,719.5],[674.0,697.0]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0010.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5],[628.0,719.5],[651.0,719.5],[674.0,719.5],[674.0,697.0],[674.0,674.0]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0011.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5],[628.0,719.5],[651.0,719.5],[674.0,719.5],[674.0,697.0],[674.0,674.0],[674.0,651.0]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0012.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5],[628.0,719.5],[651.0,719.5],[674.0,719.5],[674.0,697.0],[674.0,674.0],[674.0,651.0],[674.0,628.0]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0013.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5],[628.0,719.5],[651.0,719.5],[674.0,719.5],[674.0,697.0],[674.0,674.0],[674.0,651.0],[674.0,628.0],[674.0,605.0]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0014.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5],[628.0,719.5],[651.0,719.5],[674.0,719.5],[674.0,697.0],[674.0,674.0],[674.0,651.0],[674.0,628.0],[674.0,605.0],[674.0,582.0]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0015.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5],[628.0,719.5],[651.0,719.5],[674.0,719.5],[674.0,697.0],[674.0,674.0],[674.0,651.0],[674.0,628.0],[674.0,605.0],[674.0,582.0],[651.0,582.0]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0016.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5],[628.0,719.5],[651.0,719.5],[674.0,719.5],[674.0,697.0],[674.0,674.0],[674.0,651.0],[674.0,628.0],[674.0,605.0],[674.0,582.0],[651.0,582.0],[628.0,582.0]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0017.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5],[628.0,719.5],[651.0,719.5],[674.0,719.5],[674.0,697.0],[674.0,674.0],[674.0,651.0],[674.0,628.0],[674.0,605.0],[674.0,582.0],[651.0,582.0],[628.0,582.0],[628.0,605.0]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0018.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5],[628.0,719.5],[651.0,719.5],[674.0,719.5],[674.0,697.0],[674.0,674.0],[674.0,651.0],[674.0,628.0],[674.0,605.0],[674.0,582.0],[651.0,582.0],[628.0,582.0],[628.0,605.0],[628.0,628.0]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0019.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5],[628.0,719.5],[651.0,719.5],[674.0,719.5],[674.0,697.0],[674.0,674.0],[674.0,651.0],[674.0,628.0],[674.0,605.0],[674.0,582.0],[651.0,582.0],[628.0,582.0],[628.0,605.0],[628.0,628.0],[605.0,628.0]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0020.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5],[628.0,719.5],[651.0,719.5],[674.0,719.5],[674.0,697.0],[674.0,674.0],[674.0,651.0],[674.0,628.0],[674.0,605.0],[674.0,582.0],[651.0,582.0],[628.0,582.0],[628.0,605.0],[628.0,628.0],[605.0,628.0],[582.0,628.0]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0021.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5],[628.0,719.5],[651.0,719.5],[674.0,719.5],[674.0,697.0],[674.0,674.0],[674.0,651.0],[674.0,628.0],[674.0,605.0],[674.0,582.0],[651.0,582.0],[628.0,582.0],[628.0,605.0],[628.0,628.0],[605.0,628.0],[582.0,628.0],[559.5,628.0]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0022.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5],[628.0,719.5],[651.0,719.5],[674.0,719.5],[674.0,697.0],[674.0,674.0],[674.0,651.0],[674.0,628.0],[674.0,605.0],[674.0,582.0],[651.0,582.0],[628.0,582.0],[628.0,605.0],[628.0,628.0],[605.0,628.0],[582.0,628.0],[559.5,628.0],[537.0,628.0]]",6
/home/nvidia/users/ella/solve_a_maze_image/solve_a_maze_image/maze_data/maze_data_20260417_203226_874612/maze_048_size_35x35_seed_1251088587/maze_35_35_1251088587_DFS_final_step0023.png,"[[582.0,788.0],[582.0,765.0],[582.0,742.0],[582.0,719.5],[605.0,719.5],[628.0,719.5],[651.0,719.5],[674.0,719.5],[674.0,697.0],[674.0,674.0],[674.0,651.0],[674.0,628.0],[674.0,605.0],[674.0,582.0],[651.0,582.0],[628.0,582.0],[628.0,605.0],[628.0,628.0],[605.0,628.0],[582.0,628.0],[559.5,628.0],[537.0,628.0],[537.0,605.0]]",6
